"lat","lon","V5"
42.4304196,19.2593642,"Podgorica"
42.4349809,18.7066398,"Tivat"
46.0569465,14.5057515,"Ljubljana"
4.7109886,-74.072092,"Bogota"
-12.0463731,-77.042754,"Lima"
-0.1806532,-78.4678382,"Quito"
6.244203,-75.5812119,"Medellin"
45.4408474,12.3155151,"Venice"
36.3931562,25.4615092,"Santorini"
40.8517746,14.2681244,"Naples"
37.5078772,15.0830304,"Catania"
41.1579438,-8.6291053,"Porto"
51.441642,5.4697225,"Eindhoven"
51.9244201,4.4777325,"Rotterdam"
47.3768866,8.541694,"Zurich"
46.2043907,6.1431577,"Geneva"
55.6760968,12.5683371,"Copenhagen"
52.2296756,21.0122287,"Warsaw"
43.2140504,27.9147333,"Varna"
64.1265206,-21.8174393,"Reykjavik"
38.3459963,-0.4906855,"Alicante"
25.2854473,51.5310398,"Doha"
39.6242621,19.9216777,"Corfu"
37.4467354,25.3288845,"Mykonos"
33.886917,9.537499,"Tunis"
22.396428,114.109497,"Hong Kong"
17.9757058,102.6331035,"Vientiane"
31.2303904,121.4737021,"Shanghai"
33.5206608,-86.80249,"Birmingham"
43.1147331,-76.198718,"Liverpool"
55.953252,-3.188267,"Edinburgh"
34.1162203,-88.7117181,"Shannon"
39.0200099,1.4821482,"Ibiza"
39.9496287,4.1104449,"Minorca"
31.6294723,-7.9810845,"Marrakech "
46.7712101,23.6236353,"Cluj-Napoca"
47.5316049,21.6273123,"Debrecen"
50.2648919,19.0237815,"Katowice"
54.8985207,23.9035965,"Kaunas"
41.1230977,20.8016481,"Ohrid"
44.494887,11.3426163,"Bologna"
51.5135872,7.4652981,"Dortmund"
29.0468535,-13.5899733,"Lanzarote"
41.7235979,-72.8833729,"Bristol"
45.764043,4.835659,"Lyon"
38.423734,27.142826,"Izmir"
40.9235764,9.4964429,"Olbia"
43.7101728,7.2619532,"Nice"
43.604652,1.444209,"Toulouse"
44.837789,-0.57918,"Bordeaux"
47.5981804,7.5254958,"Basel-Mulhouse"
38.1156879,13.3612671,"Palermo"
51.481581,-3.17909,"Cardiff"
28.5217717,-81.4634578,"Valencia"
19.0759837,72.8776559,"Mumbai"
-33.9248685,18.4240553,"Cape Town"
28.7040592,77.1024902,"Delhi"
21.161908,-86.8515279,"Cancun"
-26.2041028,28.0473051,"Johannesburg"
19.3221698,-81.2408689,"Grand Cayman Island"
62.4722284,6.149482,"Aalesund "
68.4885955,16.6814426,"Harstad-Narvik"
57.70887,11.97456,"Gothenburg"
60.3912628,5.3220544,"Bergen"
42.5047926,27.4626361,"Bourgas"
62.7372352,7.1607306,"Molde"
58.9699756,5.7331073,"Stavanger"
43.7228386,10.4016888,"Pisa"
43.7695604,11.2558136,"Florence"
43.2630126,-2.9349852,"Bilbao"
36.4340533,28.2176379,"Rhodes"
48.7758459,9.1829321,"Stuttgart"
35.5138298,24.0180367,"Chania"
36.8968908,30.7133233,"Antalya"
36.7181305,28.7933172,"Mugla Dalaman"
43.8562586,18.4130763,"Sarajevo"
37.034407,27.43054,"Bodrum"
35.5570454,45.4359425,"Sulaymaniyah"
35.1855659,33.3822764,"Nicosia "
33.3128057,44.3614875,"Baghdad"
36.2062933,44.0088697,"Arbil"
37.8746429,32.4931554,"Konya"
35.6891975,51.3889736,"Tehran"
39.6655423,26.8439147,"Edremit"
29.31166,47.481766,"Kuwait"
40.4092617,49.8670924,"Baku"
30.0444196,31.2357116,"Cairo"
-23.5505199,-46.6333094,"Sao Paulo"
31.9453666,35.9283716,"Amman"
24.453884,54.3773438,"Abu Dhabi"
39.9333635,32.8597419,"Ankara"
-8.3405389,115.0919509,"Bali"
61.2180556,-149.9002778,"Anchorage AK"
19.4326077,-99.133208,"Mexico City"
51.9606649,7.6261347,"Munster"
44.119371,15.2313648,"Zadar"
55.864237,-4.251806,"Glasgow"
49.815273,6.129583,"Luxembourg"
53.8679434,-1.6615306,"Leeds Bradford"
5.6037168,-0.1869644,"Accra"
54.978252,-1.61778,"Newcastle"
53.52282,-1.128462,"Doncaster"
49.214439,-2.13125,"Jersey"
50.9097004,-1.4043509,"Southampton"
36.268311,-119.167487,"Exeter"
46.160329,-1.151139,"La Rochelle"
57.149717,-2.094278,"Aberdeen"
50.415497,-5.073719,"Newquay"
47.218371,-1.553621,"Nantes"
54.236107,-4.548056,"Isle of Man"
52.829374,-1.332134,"East Midlands"
28.2915637,-16.6291304,"Tenerife"
-34.6036844,-58.3815591,"Buenos Aires"
37.1773363,-3.5985571,"Granada"
50.0646501,19.9449799,"Krakow"
47.070714,15.439504,"Graz"
42.6629138,21.1655028,"Pristina"
49.4254092,11.0796553,"Nuremberg"
53.9045398,27.5615244,"Minsk"
46.482526,30.7233095,"Odesa"
48.464717,35.046183,"Dnipropetrovsk"
49.9935,36.230383,"Kharkov"
40.1791857,44.4991029,"Yerevan"
66.5039478,25.7293905,"Rovaniemi"
49.2827291,-123.1207375,"Vancouver"
61.4977524,23.7609535,"Tampere"
11.5448729,104.8921668,"Phnom Penh"
16.8660694,96.195132,"Yangoon"
1.352083,103.819836,"Singapore"
8.0862997,98.9062835,"Krabi"
6.35,99.8,"Langkawi"
55.8304307,49.0660806,"Kazan"
23.12911,113.264385,"Guangzhou"
43.2220146,76.8512485,"Almaty"
39.9041999,116.4073963,"Beijing"
55.1644419,61.4368431,"Chelyabinsk"
44.211675,43.1238527,"Mineralnye Vody"
53.2415041,50.2212463,"Samara"
45.7488716,21.2086793,"Timisoara"
16.0544068,108.2021667,"Da Nang"
16.4498,107.5623501,"Hue"
19.9104798,99.840576,"Chiang Rai"
10.289879,103.98402,"Phu Quoc"
11.9404192,108.4583132,"Dalat"
9.5120168,100.0135929,"Koh Samui"
37.566535,126.9779692,"Seoul"
-27.4697707,153.0251235,"Brisbane"
28.0197404,-82.7717684,"Dunedin"
0.0511839,32.463708,"Entebbe"
14.5995124,120.9842195,"Manila"
-6.792354,39.2083284,"Dar es Salaam"
48.1485965,17.1077477,"Bratislava"
41.250881,-75.905541,"Kingston"
12.1149926,-86.2361744,"Managua"
18.4860575,-69.9312117,"Santo Domingo"
36.1699412,-115.1398296,"Las Vegas"
18.5820101,-68.4054729,"Punta Cana"
44.977753,-93.2650108,"Minneapolis"
26.640628,-81.8723084,"Fort Myers FL"
42.331427,-83.0457538,"Detroit"
37.7749295,-122.4194155,"San Francisco"
26.1224386,-80.1373174,"Fort Lauderdale FL"
39.9525839,-75.1652215,"Philadelphia"
32.7766642,-96.7969879,"Dallas"
27.950575,-82.4571776,"Tampa"
10.3910485,-75.4794257,"Cartagena"
12.5450153,-81.7075787,"San Andres Island"
3.4516467,-76.5319854,"Cali"
11.0041072,-74.8069813,"Barranquilla"
-13.53195,-71.9674626,"Cusco"
-2.1709979,-79.9223592,"Guayaquil"
-0.9676533,-80.7089101,"Manta"
-33.4488897,-70.6692655,"Santiago de chile"
14.6349149,-90.5068824,"Guatemala City"
41.1171432,16.8718715,"Bari"
38.9592649,20.7517155,"Preveza"
39.2238411,9.1216613,"Cagliari"
45.6495264,13.7768182,"Trieste"
40.6327278,17.9417616,"Brindisi"
36.753768,3.0587561,"Algiers"
40.5579517,8.3192949,"Alghero"
32.6669328,-16.9240554,"Funchal"
40.735657,-74.1723667,"Newark - Nj"
10.4805937,-66.9036063,"Caracas"
34.0522342,-118.2436849,"Los Angeles"
46.5670437,26.9145748,"Bacau"
45.070312,7.6868565,"Turin"
43.653226,-79.3831843,"Toronto"
55.7032948,21.1442794,"Klaipeda"
6.9270786,79.861243,"Colombo"
35.6894875,139.6917064,"Tokyo"
54.3520252,18.6466384,"Gdansk"
33.5731104,-7.5898434,"Casablanca"
27.9202202,-15.5474373,"Gran Canaria"
33.9715904,-6.8498129,"Rabat"
39.2903848,-76.6121893,"Baltimore MD"
45.5016889,-73.567256,"Montreal"
36.140751,-5.353585,"Gibraltar"
36.834047,-2.4637136,"Almeria"
27.7172453,85.3239605,"Kathmandou"
36.8925871,27.2877926,"Kos"
37.7870331,20.8998759,"Zakinthos"
35.3387352,25.1442126,"Heraklion"
37.0853941,25.1515337,"Paros"
38.1753675,20.5692179,"Kefallinia"
39.1067382,26.5572747,"Mytilene"
33.8075978,10.8451467,"Djerba"
35.7642515,10.8112885,"Monastir"
